article_text,human_headline,BART_original_headline,BART_finetuned_headline
"COLOMBO, March 27 (Reuters) - The Sri Lankan rupeeended stronger on Wednesday on banks' dollar sales from inwardremittances ahead of the traditional new year celebrations,market sources said.** The currency ended 0.6 percent firmer at 176.20/40 to thedollar, up from Tuesday's close of 177.40/60.** The rupee has climbed 1 percent so far this week and 3.63percent this year as exporters converted dollars and foreigninvestors purchased government securities amid stabilisinginvestor confidence after the country repaid a $1 billionsovereign bond in mid-January.** Dealers expect pressure on the currency to ease with moreinward remittances ahead of the Sinhala-Hindu New Year on April14.** Sri Lanka was plunged into political turmoil in October whenPresident Maithripala Sirisena abruptly removed Prime MinisterRanil Wickremesinghe and then dissolved parliament. A courtlater ruled the move was unconstitutional, and Wickremesinghewas reinstalled as premier.** Investor sentiment took a big hit as a result of the 51-daypolitical crisis, leading to credit rating downgrades and anoutflow of foreign funds from government securities.** The island nation is struggling to repay its foreign loans,with a record $5.9 billion due this year, including $2.6 billionin the first three months.** The rupee dropped 16 percent in 2018, and was one of theworst-performing currencies in Asia due to heavy foreignoutflows.** Foreign investors bought a net 3.5 billion rupees worth ofgovernment securities in the week ended March 19, the third netinflow in five weeks, turning year-to-date net foreign buying to1.8 billion rupees, the latest central bank data showed.** The Colombo Stock Exchange index ended down 0.03percent at 5,511.77 on Wednesday, their lowest since Dec. 18,2012. Shares ended weaker for an eighth straight session,dragged down by large-cap stocks.** The benchmark stock index slipped 1.36 percent last week,recording its seventh consecutive weekly drop. The index hasdeclined 8.93 percent so far this year.** The market awaits for some positive news from the third andfinal vote on the 2019 budget scheduled for April 5, marketsources said.** Turnover was 165 million rupees ($937,233.74), its lowestsince Feb. 14 and well below this year's daily average of 660.2million rupees. Last year's daily average came in at 834 millionrupees.** Foreign investors sold a net 58.8 million rupees worth ofshares on Wednesday, extending the year-to-date foreign outflowsto 6.2 billion rupees worth of equities so far this year.** The latest budget aims to increase government spending by 13percent in 2019, during which the presidential election must beheld, while it has set an ambitious goal to reduce a largefiscal deficit.** The stability of Prime Minister Ranil Wickremesinghe'sgovernment has been questioned by the opposition since he wasreinstated after a 51-day political crisis.** For a report on global markets, click** For a report on major currencies, click ($1 = 176.0500 Sri Lankan rupees)(Reporting by Ranga Sirilal and Shihar Aneez, Editing by SherryJacob-Phillips)",Sri Lanka rupee firmer on dollar sales; stocks steady,the currency ended 0.6 percent firmer at 176.20/40 to thedollar. the rupee has climbed 1 percent so far this week and 3.63percent this year. exporters converted dollars and foreigninvestors purchased government securities.,sri lankan rupee ends firmer on banks ' dollar sales ; stocks fall for 8th session
"By Caroline Spiezio A former managing partner of Irell & Manella, a California law firm that largely focuses on intellectual property, has joined Kirkland & Ellis as partner. Ellisen Turner on Monday joined Kirkland's intellectual property practice group in Los Angeles, the law firm said. To read the full story on WestlawNext Practitioner Insights, click here: http://bit.ly/2JbUmII",IN BRIEF: Irell ex-managing partner jumps to Kirkland's IP team,former managing partner of irell &  manella joins kirkland &  ellis as partner. ellisen turner on monday joined kirkland's intellectual property practice group in los angeles.,in brief : former irell &  manella partner joins kirkland &  ellis as partner
"(Adds details on study, background) Dec 7 (Reuters) - AstraZeneca Plc's immunotherapy treatment Imfinzi did not meet the main goals in a late-stage study for advanced head and neck cancer, the London-listed drugmaker said on Friday. The study, known as ""EAGLE"", did not improve overall survival compared with standard chemotherapy in patients with the hard-to-treat disease, the company said. The results come after AstraZeneca warned last month that its immunotherapy treatment Imfinzi did not meet the main goal of improving survival rates for patients with the most advanced form of lung cancer, putting pressure on its shares. AstraZeneca has been seen as having a head start in the race for cancer treatments, and Imfinzi was aiming to be the new standard of care in treating early inoperable stage III lung cancer. ""While these results are disappointing, we remain committed to evaluating the potential of Imfinzi and other innovative medicines for patients with head and neck cancer,"" said Chief Medical Officer Sean Bohen. The trial was conducted at 169 centres across 24 countries including the U.S., Europe, South America, Japan, Korea, Taiwan, Israel and Australia, AstraZeneca said. (Reporting by Sangameswaran S and Noor Zainab Hussain in Bengaluru; Editing by Sai Sachin Ravikumar, Bernard Orr)",UPDATE 1-AstraZeneca's Imfinzi fails to meet main goals in head and neck cancer study, astrazeneca's immunotherapy treatment imfinzi did not meet the main goals in a late-stage study for advanced head and neck cancer. the study did not improve overall survival compared with standard chemotherapy in patients with the hard-to-treat disease.,update 1-astrazeneca's imfinzi fails to meet main goals in head and neck cancer study
"Aug 22 (Reuters) - Clothing and furnishing retailer LauraAshley reported an annual pretax loss on Thursday, inwhat the company said was a difficult period for the group andretail sector. The company posted a loss before tax and exceptional itemsof 9.8 million pounds ($11.87 million) for the year ended June30, compared with a profit of 5.6 million pounds in a year-agoperiod, dented by weak performance in its home furnishingbusiness and ""re-platforming"" of its website last year. Laura Ashley, known for its trademark Victorian-era styledresses and floral prints, said the company was performing inline with management's expectations for the seven weeks endedAug. 17. ($1 = 0.8254 pounds)(Reporting by Tanishaa Nadkar in Bengaluru, Editing by SherryJacob-Phillips)",Retailer Laura Ashley blames difficult period for annual loss,the company posted a loss before tax and exceptional itemsof 9.8 million pounds ($ 11.87 million) for the year ended june30. laura ashley is known for its trademark victorian-era styledresses and floral prints.,laura ashley posts annual pretax loss on weak home furnishing business
"By Maja Zuvela SARAJEVO, Nov 22 (Reuters) - Bosnian officials bowed to pressure from protesters on Friday and dismissed the management of a residential home after an opposition lawmaker publicised photos showing children with special needs tied to beds and radiators. Hundreds of protests gathered in the capital Sarajevo on Thursday and Friday after Sabina Cudic showed one of Bosnia's two parliaments images of what she said were children in the Pazaric institution near the city, some in straitjackets. The protesters say the situation in the home results from years of corruption and nepotism that have plagued Bosnia since a 1992-5 war left the former Yugoslav republic split into two autonomous parts with layers of ethnically-based government. Police on Friday raided the home, which had been under scrutiny for months over suspected historic financial misconduct, a day after the Sarajevo cantonal prosecutor's office opened a case relating to the alleged abuses. The government of the Bosniak-Croat Federation, which makes up Bosnia along with a Serb republic, said it had ordered the dismissal of the home's general manager and managing and supervisory board and their replacement by professionals. ""As a minister, I am shocked by facts and allegations that have been presented, especially because they relate to the children with mental problems, a vulnerable category that must have special protection,"" Federation Labour and Social Policy Minister Vesko Drljaca told a news conference. The government also ordered health and labour ministries to tackle systemic flaws in the running of the region's care homes. Cudic, of the Nasa Stranka party, had told the Bosniak-Croat parliament 27 out of 149 employees at the home were economists rather than trained carers, and only one person covered night shifts, often without medical training. She described conditions at the home as ""modern-day slavery"", saying she had evidence some workers and patients were forced to work for the previous manager at his private home. That manager has not commented publicly on the allegations. His successor denied any wrongdoing and the minister, Drljaca said: ""All information needs to be thoroughly examined and measures taken to determine the real truth."" The protesters vowed to continue their action next week to press for a better social care network with tighter supervision. ""Professionals rather than party affiliates should deal with our children,"" said Edo Celebic from an association of parents of children with special needs. Bosnia's ombudsmen said the sector badly needed attention. ""It is super-urgent to address the problems of inadequate staffing and accommodation, of supervision of employees and insufficient financial means,"" lead ombudsman Nives Jukic told a news conference in the town of Banja Luka on Friday. (Additional reporting and writing by Daria Sito-Sucic; Editing by Philippa Fletcher)",Bosnia sacks children's home managers after protests over abuse,hundreds of protests gathered in the capital sarajevo on thursday and friday. an opposition lawmaker publicised photos showing children with special needs tied to beds and radiators. the protesters say the situation in the home results from years of corruption and nepotism.,"bosnia sacks care home manager after photos show children tied to beds , radiators"
"LONDON, Dec 13 (Reuters) - The leader of Britain's pro-European Union Liberal Democrats lost her parliamentary seat to the Scottish National Party on Friday. Jo Swinson, who only became the party's leader in July, had campaigned to overturn Britain's 2016 vote to leave the EU. She lost the seat by just 149 votes. (Reporting by Kylie MacLellan; editing by Guy Faulconbridge)",UK Liberal Democrat leader Swinson loses seat to Scottish National Party, jo swinson had campaigned to overturn britain's 2016 vote to leave the eu. she lost the seat by just 149 votes.,leader of britain's liberal democrats loses parliamentary seat to scottish national party
"By Nate Raymond (Reuters) - A federal appeals court has upheld the dismissalof a Utah woman's lawsuit accusing Sanofi SA of failing to warnabout the risks its infertility drug Clomid posed to fetuseswhen taken during pregnancy. The 10th U.S. Circuit Court of Appeals in Denver on Fridayupheld a lower court judge's decision dismissing VictoriaCerveny's state-law failure-to-warn claims against Aventis,which was acquired by Sanofi in 2004. The ruling came in a 2014 lawsuit filed by Cerveny, herhusband and her son, Alexander, who was born with an elbowdeformity and has only three fingers on one hand. The 10th Circuit previously in 2017 partially revived thelawsuit while holding federal law preempted her some of herclaims that Aventis violated Utah law by failing to warn of therisks Clomid posed when taken before pregnancy. In Friday's order, the three-judge panel said that decisionleft Cerveny ""in a tight spot"" once the case was returned toU.S. District Judge Dee Benson in Salt Lake City as her lawyersagreed she took the drug before, not after, becoming pregnant. She argued on remand she would not have taken Clomidpre-pregnancy if she knew taking it afterwards could cause birthdefects. But the 10th Circuit agreed with Benson's decision todismiss that ""unusual"" claim as she never faced the risk oftaking Clomid during her pregnancy. Adam Davis, Cerveny's lawyer at Wagstaff & Cartmell, andSanofi, represented by William Northrip of Shook Hardy & Bacon,did not respond to requests for comment. The case is Cerveny et al v. Aventis Inc, 10th U.S. CircuitCourt of Appeals, No. 17-4204. For the Cervenys: Adam Davis of Wagstaff & Cartmell For Sanofi: William Northrip of Shook Hardy & Bacon",IN BRIEF: 10th Circuit tosses lawsuit over Clomid birth defect risk warnings,"the 10th u.s. circuit court of appeals in denver on fridayupheld a lower court judge's decision dismissing victoriacerveny's state-law failure-to-warn claims against aventis. the ruling came in a 2014 lawsuit filed by cerveny, herhusband and her son , alexander , who was born with an elbowdeformity and has only three fingers on one hand.",in brief : 10th circuit upholds dismissal of utah woman's clomid failure-to-warn lawsuit against sanofi
"* Lewis Group annual earnings up 24% * Luxury furniture unit attracting wealthier clients * Shares jump over 5% JOHANNESBURG, May 22 (Reuters) - South Africa's Lewis Groupreported a 24.3% rise in full-year earnings onWednesday as a luxury furniture firm the retailer acquired twoyears ago helped it attract wealthier customers. Shares in the furniture and appliance provider rose morethan 5% as investors cheered the results and a 17% increase inthe group's full-year dividend to 234 cents per share. Lewis Group said headline earnings per share (HEPS) for theyear ended March 31 climbed to 376.2 cents from 302.6 cents ayear earlier. HEPS is the main profit measure in South Africathat strips out certain one-off items. It credited its performance to the acquisition of luxuryhousehold furniture retailer United Furniture Outlets (UFO),which it said had given it access to higher income consumers aswell as its mainstay middle- to low-income customers. Chief Executive Johan Enslin said UFO's new stores weretrading well, and the unit had contributed 478 million rand($33 million) worth of sales in its first full 12 months as partof the group. ""UFO is proving to be a sound acquisition,"" he said in astatement. The retailer said a 22.9% rise in merchandise sales to 3.5billion rand was largely down to the new luxury division, withits wealthier customers boosting cash sales 51.1%. South African consumers, usually reliant on credit forpurchases of all sizes, have been squeezed in recent years byhigh levels of household debt, tax increases and widespreadunemployment. Many retailers have struggled as customers have cut backspending to cope with pressures on their income. Lewis Group, whose shares were up 5.6% at 0809 GMT, alsolaunched INspire last year, a unit that allows consumers to shoponline as well as in store, in a bid to attract online shoppers.After a slower-than-expected start, INspire has generated salesof 27.2 million rand, the firm said. While online purchases make up only 1.4% of total retailsales in South Africa, many retailers are moving into e-commerceto get ahead of a trend that has hit peers overseas. Lewis Group would continue to grow its online offering,though it didn't expect it to be a significant part of thebusiness for some time, Enslin told Reuters by phone. It alsoplanned to open 10 new stores over the next year, he added. Overall, Lewis Group said it expected growth to continueinto its 2020 financial year, driven by UFO, while INspireshould also break-even. ($1 = 14.3600 rand)(Reporting by Onke Ngcuka; Editing by Emma Rumney and EmeliaSithole-Matarise)",Upmarket furniture boosts S.African retailer Lewis Group's profit,south africa's lewis group reported a 24.3 % rise in full-year earnings. luxury furniture firm the retailer acquired twoyears ago helped it attract wealthier customers. shares in the furniture and appliance provider rose morethan 5 % as investors cheered the results.,"update 2-s.africa's lewis group posts 24.3 % profit rise on luxury furniture acquisition , shares jump"
"(Repeats item first carried on Sunday) By Lee Chyen Yee SINGAPORE June 2 (Reuters) - Chinese Defence Minister WeiFenghe said on Sunday that the bloody crackdown on protestersaround Beijing's Tiananmen Square 30 years ago was the ""correct""decision, citing the country's ""stability"" since then. Responding to a question at the Shangri La Dialogue inSingapore after a hardline speech about China and internationalsecurity cooperation, he called the protests political""turbulence."" It is rare for Chinese government officials to acknowledgethe events of June 4, 1989; references to it are heavilycensored in China. ""Everybody is concerned about Tiananmen after 30 years,"" Weisaid on Sunday. ""Throughout the 30 years, China under theCommunist Party has undergone many changes - do you think thegovernment was wrong with the handling of June Fourth? There wasa conclusion to that incident. The government was decisive instopping the turbulence."" He added that China's development since 1989 showed that thegovernment's actions were justified. The Tiananmen protests were ""political turmoil that thecentral government needed to quell, which was the correctpolicy,"" he said. ""Due to this, China has enjoyed stability, andif you visit China you can understand that part of history."" Tuesday marks the 30th anniversary of the protests, in whichChinese troops opened fire to end the student-led unrest. Rightsgroups and witnesses say hundreds or even thousands may havebeen killed. China has never provided a final death toll. His comments echoed those of Defence Ministry spokesman WuQian, who last week decried the use of the word ""suppression"" todescribe the military's response to the 1989 protests. China at the time blamed the protests oncounter-revolutionaries seeking to overthrow the party. The event will not be officially commemorated by the rulingCommunist Party or government.(Writing by Gerry Doyle; Editing by Raju Gopalakrishnan)",RPT-Chinese defence minister says Tiananmen crackdown was justified," chinese defence minister weifenghe said on sunday that the bloody crackdown on protestersaround beijing's tiananmen square 30 years ago was the "" correct""decision. he called the protests political""turbulence ."" it is rare for chinese government officials to acknowledgethe events of june 4 , 1989. references to it are heavilycensored in china.",rpt-update 1-china defence minister says tiananmen crackdown was ' correct ' 30 years ago
"* Firefighters avert 'near-disaster' in France's Gard region * In Spain, new fires break out, two deaths reported * Three die in Italy as surging demand triggers power cuts * Britain registers hottest day so far this year(Updates with new details throughout) By Gus Trompiz and Joan Faus PARIS/MADRID, June 29 (Reuters) - Hundreds of firefightersbrought wildfires under control in southern France on Saturdayas a stifling heatwave brought record-breaking temperatures toparts of Europe, killing at least six people. In the worst-hit Gard region, where France's highest-evertemperature was registered on Friday at 45.9 degrees Celsius(114 degrees Fahrenheit), scores of overnight fires burned some550 hectares (about 1,360 acres) of land and destroyed severalhouses and vehicles. ""We came very close to a disaster,"" Didier Lauga, prefect ofthe Gard, told reporters. ""There are still firefighters in placein case fires break out again."" A psychologically unstable man was arrested after starting ablaze in one village, but the extreme heat was likely to blamefor many of the fires, Lauga said. Fifteen firefighters and several police officers wereinjured in the Gard, where 700 firefighters and 10 aircraft weremobilised to contain the flames, emergency services said. In the neighbouring Vaucluse region, authorities said a manwho had been cycling in a mountainous area had died aftercollapsing due to the heat. The sweltering conditions were expected to ease on Saturdayin southern France but highs were still forecast at close to 40degrees. Further north, Paris was due to experience its hottestday of the heatwave with a high of 37-38 degrees predicted. As huge crowds took to the streets of the capital for theannual gay pride parade, firefighters sprayed water onrevellers, some of whom used rainbow-coloured fans and umbrellasto counter the heat. In Germany, organisers of Sunday's Frankfurt Ironman madecontingency plans to keep athletes from overheating intemperatures expected to reach up to 38 degrees. ""EXTREME RISK"" The World Meteorological Organization said this week that2019 was on track to be among the world's hottest years, and2015-2019 would then be the hottest five-year period on record. It said the European heatwave was ""absolutely consistent""with extremes linked to the impact of greenhouse gas emissions. Britain experienced its hottest day of the year so far withtemperatures set to reach up 35 degrees, the Met Office said. In Spain, unusually hot conditions were registered for afourth consecutive day. The mercury reached 43.3 degrees at a meteorological stationbetween the Catalan towns of Vinebre and Masroig in northeasternSpain, close to an area hit by wildfires, officials said. Forty of Spain's 50 regions have been placed on weatheralert, with seven of them considered to be at extreme risk, thenational meteorological agency said. Two people died on Friday due to heat-related complications,and the sizzling temperatures fuelled several wildfires. New blazes started on Saturday in southern and centralareas, though firefighters managed to contain 90% of thewildfires that raged across 60 sq km (23 sq miles) in thenortheastern Tarragona province, the Catalan government said. Two other fires in the central Castilla La Mancha and Madridregions were still burning, affecting more than 30 sq km (11.5sq miles) of land, officials said. At least three people died in central and northern Italy,while hospitals in the financial capital Milan saw a 35% rise inemergency visits due to heat-related conditions, local mediareported. Demand for power in the city surged as people cranked up airconditioning causing sporadic blackouts in stores andrestaurants. Temperatures are forecast to ease in the comingdays but it will remain hot.(Additional reporting by Costas Pitas in London, Stephen Jewkesin Milan, Douglas Busvine in Frankfurt, Sophie Louet, MyriamRivet and Johnny Cotton in Paris and Jean-Francois Rosnoblet inMarseilleWriting by Helen PopperEditing by Stephen PowellEditing by Edmund Blair)",UPDATE 1-Wildfires and power cuts plague Europeans as heatwave breaks records,"firefighters avert ' near-disaster ' in france's gard region. in spain, new fires break out, two deaths reported. three die in italy as surging demand triggers power cuts. britain registers hottest day so far this year.",update 3-firefighters contain wildfires in southern france as european heatwave kills at least six
"By Karen Freifeld and Alexandra Alper Feb 15 (Reuters) - The U.S. government is considering whether to stop General Electric Co from continuing to supply engines for a new Chinese passenger jet, according to people familiar with the matter, casting uncertainty over China's efforts to enter the civil aviation market. For years, the United States has supported American companies' business with China's budding civil aviation industry. The U.S. government has provided licenses that allow those companies to sell engines, flight control systems and other components for China's first large commercial aircraft, the COMAC C919. The narrow-body jet has already engaged in test flights and is expected to go into service next year. COMAC is an acronym for Commercial Aircraft Corp of China Ltd. But the Trump administration is weighing whether to deny GE's latest license request to provide the CFM LEAP-1C engine for the C919, people familiar with the matter said, though GE has received licenses for the LEAP engines since 2014 and was last granted one in March 2019. The CFM LEAP engine is a joint venture between GE and France's Safran Aircraft Engines. The proposal to halt the deliveries of the engines was also reported on Saturday by the Wall Street Journal. The possible new restrictions on sales of aircraft parts would be the latest move in a deepening battle between the United States and China over technological dominance. The issue is expected to come up at an interagency meeting about how strictly to limit exports of U.S. technology to China on Thursday and another meeting with members of President Donald Trump's Cabinet scheduled for Feb. 28, sources said. The meeting about technology issues also is set to include a discussion of whether to impose further restrictions on suppliers to Huawei Technologies, the world's largest telecommunications equipment maker, which is on a U.S. trade blacklist. A GE representative declined to comment. However, an industry official said they would like to weigh in on any potential policy shifts. ""If there are any changes, we would hope they would engage with us, as they’ve done before,"" said Remy Nathan, vice president for international affairs at the Aerospace Industries Association, a trade group. (Reporting by Karen Freifeld; editing by Jonathan Oatis)",U.S. weighs blocking GE engine sales for China's new airplane - sources,the united states has supported american companies ' business with china's budding civil aviation industry. the u.s. government has provided licenses that allow those companies to sell engines for china's first large commercial aircraft. the proposal to halt the deliveries of the engines was also reported on saturday by the wall street journal.,exclusive-u.s . weighs whether to stop ge from supplying engines for new chinese passenger jet - sources
"LONDON, March 1 (Reuters) - British Prime Minister Boris Johnson said he expected the new coronavirus to spread further inside Britain, following the announcement of another 12 positive tests on Sunday. ""We've found about 35 people in this country have, or have had, the illness and clearly there may be more. That is likely now to spread a bit more,"" Johnson said during a visit to a public health facility in London. (Reporting by William James; Editing by Andrew Heavens)","UK PM Johnson says coronavirus likely to ""spread a bit more"" in UK"," british prime minister boris johnson said he expected the new coronavirus to spread further inside britain. ""we've found about 35 people in this country have , or have had , the illness,"" johnson said.",uk pm johnson says coronavirus likely to spread a bit more after 12 new positive tests
"* Issues official response to U.N. inquiry's criticism * Investigation focused on Gaza border protests * U.N. report critical of Israel's use of lethal force By Jeffrey Heller JERUSALEM, March 21 (Reuters) - Israel said on Thursday aU.N. report critical of its use of lethal force duringPalestinian protests on the Gaza border was biased and shouldhave included a demand that the enclave's dominant Hamas grouptake action to stop anti-Israeli violence. A U.N. Commission of Inquiry on the demonstrations, whichbegan nearly a year ago, said this week that Israel shouldinvestigate the shootings of more than 6,000 people, far beyondthe criminal inquiries it has announced into 11 killings. Issuing an official response to the commission's report,Israel said it had ""serious concerns about the factual and legalanalysis conducted by the commission, its methodologies and theclear evidence of political bias against Israel"". Gaza health authorities say some 200 people have been killedand thousands injured by Israeli fire since Palestinianslaunched the protests. One Israeli soldier was shot dead by aPalestinian sniper along the frontier. Protesters have been demanding the lifting of an Israeliblockade of the territory and a right to return to land fromwhich their ancestors fled or were expelled. Israel has said ithas no choice but to use deadly force to defend the frontier. Addressing the U.N. Human Rights Council in Geneva onMonday, the inquiry commission's chairman, Santiago Canton,called on Israel, which boycotted the day-long debate, to reviewimmediately its military's rules of engagement. Israel's response, published on its Foreign Ministry'swebsite, said the commission's ""bias is most evident in (its)absolute failure ... to make recommendations concerning Hamas"". The militant group, Israel said, sends women, children andothers to sabotage the Israeli security fence along the frontierand to act as shields for armed attacks. Balloons and kites havebeen flown across the border into Israel to start fires. ""If the commission seriously wished to provide an objectivereport that would contribute towards human rights and the safetyof individuals, (it) would have seen fit to demand Hamas takeaction in the context of these events,"" Israel said. Asked about the Israeli allegations, Sami Abu Zuhri, a Hamasofficial in Gaza, said ""most of those killed were hit hundredsof metres from the fence - evidence that Israeli soldiers haddeliberately targeted them"". A summary accompanying the 252-page report said protestorganisers ""encouraged or defended demonstrators' indiscriminateuse of incendiary kites and balloons"", and Gaza's de factoauthorities did not stop such acts. The Human Rights Council, a 47-member forum, is due to voteon Friday on four resolutions related to the occupiedPalestinian territories. European states are divided on the resolutions, including atext related to the Gaza inquiry, with some expected to voteagainst and others abstaining, diplomats said. The United States, Israel’s closest ally, quit the Genevaforum last year over what it says is bias against Israel. Gaza is home to 2 million Palestinians, mainly statelessdescendants of people who fled or were driven from Israel on itsfounding in 1948. Israel captured Gaza in a 1967 war but pulledout troops and settlements in 2005. Hamas took control in 2007. Since then, Israel has fought three wars against theIslamist group and, along with Egypt, imposed a blockade of theterritory that the World Bank says has collapsed its economy.(Additional reporting by Nidal al-Mughrabi in Gaza andStephanie Nebehay in Geneva)",Israel says U.N. Gaza war crimes report biased against it," u.n. report critical of israel's use of lethal force duringpalestinian protests on the gaza border was biased. report should have included a demand that the enclave's dominant hamas grouptake action to stop anti-israeli violence, israel says. gaza health authorities say some 200 people have been killedand thousands injured by israeli fire since palestinianslaunched the protests.","israel says u.n . report on gaza border protests biased , should have called for hamas action"
"(Adds court action in paragraphs 4,5) By Bate Felix PARIS, April 6 (Reuters) - Energy major Total is among several power suppliers that tried to declare force majeure on buying nuclear power from EDF, sources said, as the coronavirus outbreak has pushed prices in the French electricity market far below existing contracts. France's energy market regulator CRE said last week it had rejected requests from several unnamed power suppliers to activate the force majeure clause in so-called ARENH contracts which allow them to buy EDF's nuclear power at a fixed price. Two lobby groups representing French power and gas distributors have launched an urgent procedure with the State Council, the France's highest administrate court, to annul the regulator's decision, a spokesman for the court said on Monday. The lobby groups ANODE and AFIEG represent several energy companies including Total, Eni, Vattenfall, Alpiq, Endesa, and GazelEnergie. A spokeswoman for ANODE declined to comment, while AFIEG could not be reached for comment. The CRE did not say which suppliers declared force majeure, but three sources told Reuters that Total, EDF's biggest rival in France's retail power market, led the move. EDF and Total declined to comment. A spokesman for Engie, the other major player in the French electricity market, said it had not declared force majeure on its ARENH contract. Under the so-called ARENH mechanism set up in 2011 to foster competition, EDF's rivals can buy up to 100 terawatt hours (TWh), or about a quarter of its annual nuclear output, at a fixed price of 42 euros ($46.29) per megawatt hour (MWh). State-controlled EDF operates France's 58 nuclear reactors that account for around 75% of the country's electricity needs. During the annual auction last November, high power prices in the European wholesale market saw strong demand from the ARENH mechanism for delivery in 2020. But the coronavirus outbreak and a general confinement ordered by the government to curb its spread has led to a sharp drop in electricity demand by around 15% to 20%, according to French electricity grid operator RTE. Due to the fall in power consumption, wholesale prices are far from the 42 euros/MWh suppliers paid for the ARENH contract. France's baseload power contract for June delivery is trading 20.40 euros/MWh, while the contract for the third quarter was at 26.20 euros/MWh, by 0920 GMT. THE MARKET HAS TANKED ""The market has completely tanked,"" said one of the sources, adding that the pandemic had led to an exceptional situation which if not dealt with could break the principle of the ARENH contract, which aims to create a level playing field between EDF's commercial arm and rivals. France's energy market regulator CRE said in its statement last week that EDF had rejected the force majeure declaration. The CRE added that regulators considered that force majeure could only apply if a buyer succeeded in demonstrating that its economic situation made it completely impossible to fulfil the ARENH payment obligation, which in its opinion, was not the case in this situation. CRE said it could not suspend the ARENH contracts in their totality because that would benefit suppliers at the expense of EDF. EDF has argued over the years that it wanted the government to scrap the ARENH mechanism because it is advantageous to rivals which buy from it when wholesale power prices are high, but turn to the market when prices are low. The French government has launched a plan to reform the electricity market including the ARENH mechanism. (Additional reporting by Benjamin Mallet; editing by David Evans)",UPDATE 1-Total among companies seeking force majeure on EDF contracts -sources,"total is among several power suppliers that tried to declare force majeure on buying nuclear power from edf, sources said. the coronavirus outbreak has pushed prices in the french electricity market far below existing contracts. two lobby groups representing french power and gas distributors have launched an urgent procedure with the france's highest administrate court.",update 1-total among firms trying to declare force majeure on edf's nuclear power contracts -  sources
"ROME, Feb 22 (Reuters) - Italy coach Conor O'Shea on Fridaynamed the following team to play Ireland in Rome in their SixNations game on Sunday: 15-Jayden Hayward, 14-Edoardo Padovani, 13-MicheleCampagnaro, 12-Luca Morisi, 11-Angelo Esposito, 10-TommasoAllan, 9-Tito Tebaldi, 8-Braam Steyn, 7-Maxime Mbanda, 6-JimmyTuivaiti, 5-Dean Budd, 4-Federico Ruzza, 3-Simone Ferrari,2-Leonardo Ghiraldini (captain), 1-Andrea Lovotti Replacements: 16-Luca Bigi, 17-Cherif Traore, 18-TizianoPasquali, 19-David Sisi, 20-Alessandro Zanni, 21-GuglielmoPalazzani, 22-Ian McKinley, 23-Tommaso Castello.(Reporting By Nick SaidEditing by Christian Radnedge)",Rugby-Italy team to play Ireland in Six Nations,"italy coach conor o'shea on friday named the following team to play ireland in rome in their sixnations game on sunday: 15-jayden hayward, 14-edoardo padovani, 13-michelecampagnaro, 12-luca morisi, 11-angelo esposito.",rugby-italy team to play ireland in six nations
"SYDNEY, Sept 5 (Reuters) - A drought across Australia's east coast has intensified after near record-low levels of rain across much of the region over the past five months, the country's weather bureau said on Wednesday. Australia's Bureau of Meteorology said nearly all of the country's east coast recorded well below average rains between April 1 and Aug. 31, plunging nearly all of the region into drought. The bureau last week said the east coast will continue to experience dry weather for at least the next three months, offering little relief for farmers struggling to stay in business. (Reporting by Colin Packham; editing by Richard Pullin)",Australian drought intensifies over past five months - weather bureau,nearly all of the country's east coast recorded well below average rains between april 1 and aug . 31. the bureau last week said the east coast will continue to experience dry weather for at least the next three months.,australia's east coast drought intensifies after near record-low rains -  weather bureau
